method, of, sol, time
heu, 12.85, [0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.], 0.0
exact, 12.7, [0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0], 0.01119542121887207
